,booking_status
32786,0
3572,0
10149,1
12679,0
4570,0
30351,0
20460,1
8205,0
35360,0
14587,0
35578,0
19346,1
11302,0
8882,0
35862,0
7857,0
9554,0
29970,0
11700,1
29486,0
8029,1
33300,0
13132,0
5668,0
3583,0
11625,1
7086,0
34363,0
23499,0
30824,0
19459,1
35172,0
28772,0
23890,0
33359,0
17837,0
9094,1
36229,0
1833,0
4141,0
27115,1
22761,0
22445,0
17379,0
17903,0
13723,1
12491,0
24499,1
28492,1
19430,0
3294,0
22204,0
31338,0
31968,1
20342,1
16414,1
22562,1
22882,0
26391,0
5131,1
4665,0
16302,0
1165,0
923,0
13115,0
32211,1
3158,0
29936,0
9895,0
26596,0
14617,1
15689,0
9867,0
24188,1
28044,1
24990,0
19829,0
3790,0
10454,0
4397,0
31649,1
26114,1
11903,0
1328,0
7707,0
29853,0
24822,0
24753,1
29831,0
14127,0
34035,1
25351,0
29000,0
21469,0
34662,0
32131,0
35113,0
7652,1
14618,1
26832,1
8512,0
29674,1
14859,1
24115,0
11333,0
12118,0
20825,0
35035,0
10484,0
546,1
21445,0
20655,1
605,0
18104,0
28221,1
20415,0
6514,0
22945,1
35588,0
21715,0
24174,0
22056,0
7011,0
3835,0
3190,0
27945,1
27061,1
7751,1
34377,0
30536,1
27559,0
20010,0
11888,0
3240,0
29926,0
32134,1
6886,0
13308,1
21745,1
212,1
30036,1
18123,1
15994,1
22072,1
16540,0
3130,0
10422,0
8657,0
28409,0
10719,0
8716,0
25395,1
19658,0
11027,0
27442,0
114,1
34270,0
9385,1
6026,0
14748,0
27541,0
7706,0
17470,1
31741,0
15330,1
16152,0
30726,0
30425,1
3498,0
10216,0
23997,1
34742,0
29037,1
19295,0
24198,0
7877,0
29971,0
9632,1
3544,0
13893,1
8503,0
28413,0
32522,0
899,0
30303,1
24040,1
31802,1
264,1
8694,0
4509,0
27642,1
32176,0
27247,1
25649,0
34186,0
27533,0
22244,1
15394,1
33878,0
31419,0
16746,0
2395,0
24897,0
33487,1
20834,0
27887,1
12021,1
12562,0
33281,0
21885,1
32819,0
18812,0
33221,1
16765,1
6240,0
30630,0
4339,0
6036,1
32162,0
13008,0
14758,0
474,0
1509,0
5062,0
16256,1
17824,1
6850,0
31040,0
32745,0
15441,1
24789,1
17721,0
28198,0
28338,1
16833,0
30650,0
25468,1
17211,1
982,1
27564,0
8595,0
27877,1
15974,1
7280,1
32564,0
11068,1
36042,0
20164,0
19284,0
30350,0
13623,0
1881,0
26071,0
10102,0
279,0
34907,0
25618,0
11268,1
8233,1
26089,1
30018,0
13108,0
6056,0
2983,0
14294,0
9167,1
26891,1
13887,1
19648,0
7397,0
16020,0
32593,0
13616,0
386,1
34673,1
1050,1
14812,0
6370,0
18906,0
1966,0
27524,0
12237,0
28483,1
16570,1
8725,0
24367,1
28035,1
33703,0
17951,0
19819,0
16601,0
33686,0
21205,0
2933,0
27651,1
30479,1
6544,0
20584,0
8080,0
24568,0
14342,1
29373,1
20984,1
34604,0
26631,0
33822,0
16226,1
20103,0
34122,0
15460,1
22844,0
30075,1
25853,0
30323,1
18975,0
9786,1
4692,0
5831,0
2637,0
7300,0
286,1
21887,0
7042,0
17405,0
7630,1
11033,0
32606,1
5420,1
35493,0
17849,0
36243,1
12229,0
11550,0
4588,0
35798,0
8954,1
23270,1
20241,0
21360,0
30423,1
988,0
32280,1
7711,0
30420,1
15314,1
15369,0
22176,1
25499,0
26635,1
27038,1
28135,0
14011,1
28078,0
28751,1
6943,0
13601,1
8731,0
30596,0
28000,1
1546,0
28201,0
8166,1
5466,0
17021,0
5439,0
20471,0
21234,0
26200,1
13205,0
25512,1
3203,0
16178,0
33110,0
13978,1
35958,0
31328,0
22535,1
20714,1
38,1
18989,0
30380,0
22277,0
9372,0
21195,0
36027,0
459,0
10825,0
11345,0
2022,0
9340,0
30718,0
8261,0
11547,0
35975,0
9040,0
9699,1
34498,0
27540,0
5856,0
16229,0
32693,0
30095,0
15750,1
4474,0
25460,1
3770,0
29583,0
30626,0
6340,0
18822,1
23652,1
19077,1
